Total,Demographic Pressures,Refugees and IDPs,Group Grievance,Human Flight,Uneven Development,Poverty and Economic Decline,Legitimacy of the State,Public Services,Human Rights,Security Apparatus,Factionalized Elites,External Intervention,Air Quality Index,Happiness Index,Global Warming Index,Global Peace Index,Technology Usage Index,Global Slavery Index
99,5.4,4.8,6.4,5.8,6.9,5.4,7.6,6.5,7.7,6.5,7.3,4.9,4.2,5,5.2,0.8,3.9,4.6
98.9,5.7,3,6.1,7.6,7,7.1,6.1,5.3,5.4,5.8,5.8,6.3,6.7,5.1,5,0,6.3,4.6
97.1,6.5,4.9,4.4,7.1,6.6,5.5,6,6,4.1,5.5,4.3,6.3,7.4,4.4,5.3,0,7.8,5
96.3,7,3.6,5.9,3.9,8.3,3.3,5.3,5.4,5.3,5.9,4.9,3.3,7.6,4.2,4.5,4.2,7.2,6.5
95.9,5.6,3.4,4,7.2,5.9,6.6,6.1,5.7,5,6.3,3.7,6.3,6.8,2.8,5,4.6,7.8,3.3
95,5.4,5.3,4.9,6.2,4.4,6.5,8.3,6.7,7.6,5.8,8,6.4,3,4.9,5.1,0,3.4,3.2
92.7,3.9,5.2,7.8,6.1,6.2,5.9,6.1,3.9,4.3,6,7,5.6,4.2,3.5,4.1,4,4.4,4.5
92.6,5.3,3.8,6.2,3.6,5.3,6.2,7.8,5.1,7.1,6.4,7.7,5.3,3.2,3.8,3.8,4,4,4
92.2,4.7,3.2,5.9,5.7,5.3,5.4,7.8,3.6,5.7,4.4,8,6.2,5.4,2.2,4.2,4.4,6,4.1
92.1,4.5,3.3,6.2,4.6,7.8,2.8,7.4,2.6,6.9,5.6,7.4,4.1,7.9,3.2,4.2,0,8,5.6
91.9,4,4.4,7.3,4.8,7,5.8,5.5,3,3.3,5,7.9,9,2.1,3.3,3.5,5.6,4.4,6
91.7,5.2,3.2,3.9,8.5,5.9,5.8,6.2,3.6,3.7,5.3,5.6,7.7,8.6,2.4,4.4,0,8.6,3.1
